"UM_CODE";"UM_NAMEF";"UM_NAMES";"UM_TRANS";"UM_TYPE";"UM_TM";"UM_TE";"UM_KLADR";"global_id";
"020600";"2-й Пехотный переулок";"2-й Пехотный пер.";"Vtoroj Pexotny'j pereulok";"002";"";"0907";"77000000000227500";"58482296";
"020610";"Печатников переулок";"Печатников пер.";"Pechatnikov pereulok";"002";"";"0105";"77000000000227600";"58482297";
"020630";"Печорская улица";"Печорская ул.";"Pechorskaya ulicza";"001";"";"0303";"77000000000720300";"58482298";
"020640";"улица Пивченкова";"ул. Пивченкова";"ulicza Pivchenkova";"001";"";"0819";"77000000000227800";"58482299";
"020645";"улица Вильгельма Пика";"ул. Вильгельма Пика";"ulicza Vil`gel`ma Pika";"001";"";"0310;0312";"77000000000096600";"58482300";
"020650";"Пилотская улица";"Пилотская ул.";"Pilotskaya ulicza";"001";"";"0813";"77000000000227900";"58482301";
"020651";"улица Академика Пилюгина";"ул. Академика Пилюгина";"ulicza Akademika Pilyugina";"001";"";"0706;0707";"77000000000228000";"58482302";
"020660";"Пименовский тупик";"Пименовский туп.";"Pimenovskij tupik";"007";"";"0108";"77000000000058200";"58482303";
"020682";"Пинский проезд";"Пинский пр.";"Pinskij proezd";"003";"";"0819";"77000000000228100";"58482304";
"020705";"Пионерская улица";"Пионерская ул.";"Pionerskaya ulicza";"001";"";"0813";"77000000033391800";"58482305";
"020710";"Большая Пионерская улица";"Б. Пионерская ул.";"Bol`shaya Pionerskaya ulicza";"001";"";"0103";"77000000000228200";"58482306";
"020720";"Малая Пионерская улица";"М. Пионерская ул.";"Malaya Pionerskaya ulicza";"001";"";"0103";"77000000000228300";"58482307";
"020730";"Малый Патриарший переулок";"М. Патриарший пер.";"Maly'j Patriarshij pereulok";"002";"";"0106";"77000000000703900";"58482308";
"020740";"Большая Пироговская улица";"Б. Пироговская ул.";"Bol`shaya Pirogovskaya ulicza";"001";"";"0109";"77000000000228600";"58482309";
"020750";"Малая Пироговская улица";"М. Пироговская ул.";"Malaya Pirogovskaya ulicza";"001";"";"0109";"77000000000228700";"58482310";
"020770";"Борисоглебский переулок";"Борисоглебский пер.";"Borisoglebskij pereulok";"002";"";"0101";"77000000000704000";"58482311";
"020780";"Писцовая улица";"Писцовая ул.";"Pisczovaya ulicza";"001";"";"0213";"77000000000228900";"58482312";
"020789";"Плавский проезд";"Плавский пр.";"Plavskij proezd";"003";"";"0711";"77000000000451000";"58482313";
"020790";"Планерная улица";"Планерная ул.";"Planernaya ulicza";"001";"";"0904";"77000000000229000";"58482314";
"020800";"Планетная улица";"Планетная ул.";"Planetnaya ulicza";"001";"";"0201";"77000000000229100";"58482315";
"020810";"Платовская улица";"Платовская ул.";"Platovskaya ulicza";"001";"";"0805";"77000000000229200";"58482316";
"020820";"Плетешковский переулок";"Плетешковский пер.";"Pleteshkovskij pereulok";"002";"";"0102";"77000000000229400";"58482317";
"020830";"улица Плеханова";"ул. Плеханова";"ulicza Plexanova";"001";"";"0413";"77000000000043200";"58482318";
"020845";"улица Плещеева";"ул. Плещеева";"ulicza Pleshheeva";"001";"";"0304";"77000000000229500";"58482319";
